Prompt ,,,,Delayed,,,,ΔT [min],ΔR [m],LR,Date
5.77,-2.5,-1.68,-1.2,1.01,-3.17,-1.5,-1.51,33.89,0.76,-8.18,31/01/2023
6.97,0.28,0.85,5,1.06,-0.32,1.5,5.06,42.17,0.89,-9.23,10/02/2023
8.44,-2.09,-4.1,-1.51,1.02,-1.33,-4.3,-0.99,22.03,0.94,-8.93,17/02/2023
5.14,-0.16,1.9,1.68,2.07,0.25,1.59,2.43,19.97,0.92,-8.66,24/02/2023
-,-,-,-,1.04,-0.89,2.11,1.23,18.01,0.88,-7.58,24/02/2023
6.57,-0.67,1.16,-1.61,1.13,-0.97,0.61,-2.11,56.66,0.8,-7.97,01/03/2023
9.26,-0.77,-1.75,-1.21,1.05,-1.51,-1.36,-1.62,0.26,0.93,-7.3,07/03/2023
-,-,-,-,1.18,-0.58,-1.86,-1.21,19.16,0.22,2.99,07/03/2023
5.16,1.9,0.16,-3.08,1.48,2.27,0.9,-3.46,20.14,0.91,-5.06,08/03/2023
8.09,0.18,3.49,-1.26,1.04,0.39,3.46,-1.54,0.68,0.35,1.41,08/03/2023
5.48,2.89,0.19,1.64,1.71,3.31,0.01,1.21,11.35,0.62,-0.03,28/05/2023
6.95,-0.18,-4.16,-2.61,1.85,-0.72,-3.9,-2.25,50.97,0.7,-4.84,21/06/2023
-,-,-,-,1.66,-0.15,-3.98,-2.47,1.84,0.23,5.32,21/06/2023
9.84,-0.47,3.62,3.03,1.45,-0.4,3.3,3.31,3.15,0.43,3.59,21/06/2023
